id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label,cluster_id
1827147,1833754,1,0.4024296043818446,0.0434782608695652,143,0.0833333333333333,0.5,1,-1,-1.0
1827147,1837274,4,2.253876048930116,0.1904761904761904,156,0.676923076923077,1.0,0,-1,1.0
1827147,1839400,8,4.143254097162925,0.5714285714285714,117,1.1594627594627591,1.0,0,-1,1.0
1827147,1839425,4,2.0349707187523487,0.2857142857142857,65,0.5602564102564103,1.0,4,-1,1.0
1827147,1839440,12,6.474936873285744,0.8571428571428571,169,1.8769841269841268,1.0,8,-1,1.0
1827147,1850273,4,1.921445406437729,0.2857142857142857,65,0.4991452991452991,1.0,3,-1,1.0
1827147,1857966,1,0.4024296043818446,0.0434782608695652,143,0.0833333333333333,0.5,1,-1,-1.0
1827147,1860614,4,1.921445406437729,0.2857142857142857,65,0.4991452991452991,1.0,3,-1,1.0
1827147,1860701,8,4.143254097162925,0.5714285714285714,117,1.1594627594627591,1.0,0,-1,1.0
1827147,1866237,1,0.4024296043818446,0.0384615384615384,182,0.0833333333333333,0.5,0,-1,-1.0
1827147,1866269,1,0.4024296043818446,0.0384615384615384,182,0.0833333333333333,0.5,1,-1,-1.0
1827147,1874325,6,2.8418054989873696,0.4285714285714285,91,0.7277167277167278,1.0,4,-1,1.0
1827147,1874637,4,2.0349707187523487,0.2857142857142857,65,0.5602564102564103,1.0,0,-1,1.0
1827147,1881136,6,2.8418054989873696,0.4285714285714285,91,0.7277167277167278,1.0,4,-1,1.0
1827147,1881747,6,2.8418054989873696,0.4285714285714285,91,0.7277167277167278,1.0,0,-1,1.0
1827147,1881771,6,2.8418054989873696,0.4285714285714285,91,0.7277167277167278,1.0,4,-1,1.0
1827147,1887374,1,0.4024296043818446,0.05,104,0.0833333333333333,0.5,1,-1,-1.0
1827147,1896429,1,0.4024296043818446,0.0526315789473684,91,0.0833333333333333,0.5,0,-1,-1.0
1827147,1898093,1,0.4024296043818446,0.0526315789473684,91,0.0833333333333333,0.5,1,-1,-1.0
1827147,1898129,4,2.0349707187523487,0.2857142857142857,65,0.5602564102564103,1.0,3,-1,1.0
1827159,1875010,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,0,-1,1.0
1827159,1875453,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,0,-1,1.0
1827163,1832613,1,0.4342944819032517,0.0588235294117647,80,0.1,0.5,4,-1,-1.0
1827163,1840145,4,2.2044665630451994,0.4444444444444444,40,0.65,1.0,9,-1,1.0
1827163,1840175,7,3.790403812355968,0.7777777777777778,64,1.101923076923077,1.0,13,-1,1.0
1827163,1867253,1,0.4342944819032517,0.0833333333333333,40,0.1,0.5,2,-1,-1.0
