id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1827232,1855312,6,3.083390054218504,0.75,49,0.857142857142857,1.0,0,-1
1827232,1858181,6,3.083390054218504,0.75,49,0.857142857142857,1.0,0,-1
1827232,1923323,6,3.083390054218504,0.75,49,0.857142857142857,1.0,0,-1
1827232,2026163,6,3.083390054218504,0.75,49,0.857142857142857,1.0,0,-1
1827232,2047219,6,3.083390054218504,0.75,49,0.857142857142857,1.0,0,-1
1827232,2047222,6,3.083390054218504,0.75,49,0.857142857142857,1.0,0,-1
1827232,2047226,6,3.083390054218504,0.75,49,0.857142857142857,1.0,0,-1
1827494,1938636,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,6,-1
1827494,1939874,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,6,-1
1827494,1940077,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,6,-1
1827827,1862504,3,2.164042561333445,0.3333333333333333,32,0.75,1.0,8,-1
1827827,1970512,3,2.164042561333445,0.3333333333333333,32,0.75,1.0,8,1
1827827,1977896,3,2.164042561333445,0.3333333333333333,32,0.75,1.0,8,-1
1827827,1989663,3,2.164042561333445,0.3333333333333333,32,0.75,1.0,8,-1
1828786,1875761,4,2.3191244169922545,0.4,45,0.711111111111111,1.0,5,-1
1828786,1982245,4,2.152909095746061,0.6666666666666666,25,0.6222222222222222,1.0,5,-1
1828786,1982263,4,2.152909095746061,0.6666666666666666,25,0.6222222222222222,1.0,5,-1
1828786,1994523,4,2.3191244169922545,0.4,45,0.711111111111111,1.0,5,-1
1828786,2002277,4,2.152909095746061,0.6666666666666666,25,0.6222222222222222,1.0,5,-1
1829050,1896783,6,3.083390054218504,0.42857142857142855,91,0.857142857142857,1.0,14,-1
1829050,1948025,6,3.083390054218504,0.42857142857142855,91,0.857142857142857,1.0,14,-1
1829050,1986068,6,3.083390054218504,0.42857142857142855,91,0.857142857142857,1.0,14,-1
1829050,1986089,6,3.083390054218504,0.42857142857142855,91,0.857142857142857,1.0,14,-1
1829050,2000656,6,3.083390054218504,0.42857142857142855,91,0.857142857142857,1.0,14,-1
1829050,2003106,6,3.083390054218504,0.42857142857142855,91,0.857142857142857,1.0,14,-1
1829050,2003432,6,3.083390054218504,0.42857142857142855,91,0.857142857142857,1.0,14,-1
1829093,1850767,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,-1
1829093,1855831,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,-1
1829093,1923510,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,-1
1829156,1999926,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,6,-1
1829156,2002339,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,6,-1
1829156,2002528,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,6,-1
1829505,1837490,6,3.083390054218504,0.75,49,0.857142857142857,1.0,7,-1
1829505,1844000,6,3.083390054218504,0.75,49,0.857142857142857,1.0,7,-1
1829505,1864085,6,3.083390054218504,0.75,49,0.857142857142857,1.0,7,-1
1829505,1913605,6,3.083390054218504,0.75,49,0.857142857142857,1.0,7,-1
1829505,1938008,6,3.083390054218504,0.75,49,0.857142857142857,1.0,7,-1
1829505,1946649,6,3.083390054218504,0.75,49,0.857142857142857,1.0,7,-1
1829505,2047249,6,3.083390054218504,0.75,49,0.857142857142857,1.0,7,-1
1830433,1928058,7,3.366288428740915,0.7777777777777778,64,0.875,1.0,8,-1
