id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1827236,1920398,0,0.0,0.0,1,0.0,1.0,2,-1
1827640,1884788,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,5,-1
1827640,1936725,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,9,-1
1827640,1936731,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,9,-1
1827640,1943544,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,9,-1
1827640,1943548,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,9,-1
1827761,1862185,6,3.083390054218504,0.75,49,0.857142857142857,1.0,9,-1
1827761,1887141,6,3.083390054218504,0.75,49,0.857142857142857,1.0,7,-1
1827761,1904983,6,3.083390054218504,0.75,49,0.857142857142857,1.0,7,-1
1827761,1925872,6,3.083390054218504,0.75,49,0.857142857142857,1.0,7,-1
1827761,1930505,6,3.083390054218504,0.75,49,0.857142857142857,1.0,9,-1
1827761,1942042,6,3.083390054218504,0.75,49,0.857142857142857,1.0,7,-1
1827761,1942059,6,3.083390054218504,0.75,49,0.857142857142857,1.0,7,-1
1827918,1886813,3,2.164042561333445,0.6,16,0.75,1.0,0,-1
1827918,1895693,3,2.164042561333445,0.6,16,0.75,1.0,2,-1
1827918,1904350,3,2.164042561333445,0.6,16,0.75,1.0,0,-1
1827918,1914546,3,2.164042561333445,0.6,16,0.75,1.0,3,-1
1828086,1886127,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,4,-1
1828086,1925634,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,0,-1
1828086,1929591,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,4,-1
1828653,1841626,7,3.366288428740915,0.7777777777777778,64,0.875,1.0,7,-1
1828653,1925206,7,3.366288428740915,0.7777777777777778,64,0.875,1.0,7,-1
1828653,1925609,7,3.366288428740915,0.7777777777777778,64,0.875,1.0,7,-1
1828653,1929612,7,3.366288428740915,0.7777777777777778,64,0.875,1.0,7,-1
1828653,1929615,7,3.366288428740915,0.7777777777777778,64,0.875,1.0,7,-1
1828653,1930127,7,3.366288428740915,0.7777777777777778,64,0.875,1.0,7,-1
1828653,1930137,7,3.366288428740915,0.7777777777777778,64,0.875,1.0,7,-1
1828653,1933792,7,3.366288428740915,0.7777777777777778,64,0.875,1.0,0,-1
1828659,1847840,4,2.974269202075413,0.3076923076923077,60,1.0333333333333332,1.0,5,1
