id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1827525,1830458,1,0.4170323914242463,0.16666666666666666,10,0.09090909090909091,0.5,2,-1
1827525,1893135,1,0.4170323914242463,0.2,8,0.09090909090909091,0.5,0,-1
1827525,1894770,1,0.4170323914242463,0.25,6,0.09090909090909091,0.5,0,-1
1827525,1895194,1,0.4170323914242463,0.16666666666666666,10,0.09090909090909091,0.5,0,-1
1827525,1903083,1,0.4170323914242463,0.3333333333333333,4,0.09090909090909091,1.0,0,-1
1827525,1914883,1,1.4426950408889634,0.08333333333333333,22,0.5,1.0,0,-1
1827525,1921589,1,0.4170323914242463,0.14285714285714285,12,0.09090909090909091,0.5,2,-1
1827525,1952610,1,0.4170323914242463,0.14285714285714285,12,0.09090909090909091,0.5,0,-1
1827525,1955162,1,0.4170323914242463,0.25,6,0.09090909090909091,0.5,0,-1
1827525,1966215,1,0.4170323914242463,0.3333333333333333,4,0.09090909090909091,0.5,0,-1
1827778,1839759,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,1
1827778,1851292,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,1
1827778,1895537,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,4,1
1828016,1845557,3,2.164042561333445,0.6,16,0.75,1.0,3,-1
1828016,1954166,3,2.164042561333445,0.6,16,0.75,1.0,3,-1
1828016,1955384,3,2.164042561333445,0.6,16,0.75,1.0,0,-1
1828016,1955403,3,2.164042561333445,0.6,16,0.75,1.0,3,-1
1830005,1954963,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,0,-1
1830005,1956467,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,1,-1
1830458,1893135,3,1.5964779525351054,0.5,20,0.4575757575757575,1.0,0,-1
1830458,1894770,2,0.9751430179754935,0.3333333333333333,15,0.25757575757575757,0.5,0,-1
1830458,1895194,4,2.6067297650468126,0.6666666666666666,25,0.8409090909090908,1.0,0,1
1830458,1903083,1,0.4170323914242463,0.16666666666666666,10,0.09090909090909091,0.5,0,-1
1830458,1914883,4,2.8110323081821784,0.3333333333333333,55,0.95,1.0,0,1
1830458,1921589,3,1.7597148464283399,0.375,30,0.5409090909090909,1.0,2,-1
1830458,1952610,1,0.4170323914242463,0.1,30,0.09090909090909091,0.5,0,-1
1830458,1955162,2,0.9751430179754935,0.3333333333333333,15,0.25757575757575757,0.5,0,-1
1830458,1966215,1,0.4170323914242463,0.16666666666666666,10,0.09090909090909091,0.5,0,-1
1830924,1831621,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,2,-1
1830924,1918593,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,0,-1
1830924,1956666,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,-1
1831035,1853907,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,2,-1
1831035,1955971,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,0,-1
1831621,1918593,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,0,-1
1831621,1956666,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,2,-1
1831652,1954597,0,0.0,0.0,1,0.0,1.0,0,-1
1832773,2030350,0,0.0,0.0,1,0.0,1.0,1,-1
1834446,1851190,2,1.8204784532536746,0.4,12,0.6666666666666666,1.0,0,-1
1834446,1884110,2,1.8204784532536746,0.4,12,0.6666666666666666,1.0,4,1
1834446,1884428,2,1.8204784532536746,0.4,12,0.6666666666666666,1.0,4,1
1834446,1901156,0,0.0,0.0,4,0.0,1.0,0,1
1834521,1914495,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,1,-1
1834521,1916368,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,0,-1
1835049,1837873,10,4.170323914242463,0.8333333333333334,121,0.9090909090909093,1.0,8,-1
1835049,1842225,10,4.170323914242463,0.8333333333333334,121,0.9090909090909093,1.0,8,-1
1835049,1843621,10,4.170323914242463,0.8333333333333334,121,0.9090909090909093,1.0,0,-1
1835049,1848024,10,4.170323914242463,0.8333333333333334,121,0.9090909090909093,1.0,0,-1
1835049,1913120,10,4.170323914242463,0.8333333333333334,121,0.9090909090909093,1.0,8,-1
1835049,1917766,10,4.170323914242463,0.8333333333333334,121,0.9090909090909093,1.0,0,-1
1835049,1932851,10,4.170323914242463,0.8333333333333334,121,0.9090909090909093,1.0,0,-1
1835049,1974967,10,4.170323914242463,0.8333333333333334,121,0.9090909090909093,1.0,0,-1
1835049,2000040,10,4.170323914242463,0.8333333333333334,121,0.9090909090909093,1.0,8,-1
1835049,2034160,10,4.170323914242463,0.8333333333333334,121,0.9090909090909093,1.0,0,-1
1835049,2034167,10,4.170323914242463,0.8333333333333334,121,0.9090909090909093,1.0,0,-1
1835217,1835616,0,0.0,0.0,1,0.0,1.0,1,-1
1835629,1921732,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,5,-1
1835629,1921736,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,5,-1
1835629,1931510,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,5,-1
1835629,1971074,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,5,-1
1835629,1971753,4,2.4853397382384474,0.6666666666666666,25,0.8,1.0,5,-1
1836085,1883033,2,1.631586747071319,0.16666666666666666,49,0.5833333333333333,1.0,0,-1
1836085,1883922,2,1.424137568996588,0.2222222222222222,28,0.47619047619047616,1.0,0,-1
1836085,1978727,2,1.2352458628142324,0.25,21,0.39285714285714285,1.0,2,-1
1836322,1897728,3,1.9565933832587141,0.375,28,0.6428571428571428,1.0,3,-1
1836322,1956738,3,1.9565933832587141,0.375,28,0.6428571428571428,1.0,3,-1
1836322,1974365,3,1.7491442051839832,0.6,16,0.5357142857142857,1.0,0,-1
1836322,2035287,3,1.7491442051839832,0.6,16,0.5357142857142857,1.0,3,-1
1836726,1979110,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,2,-1
1836726,2035031,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,2,-1
